O*NET-SOC Code,Tool Name
11-3011.00,Novell GroupWise
11-3011.00,Oracle Hyperion
11-3011.00,Oracle PeopleSoft
11-3011.00,Oracle PeopleSoft Financials
11-3011.00,PracticeWorks Systems Kodak WINOMS CS
11-3011.00,R
11-3011.00,Sage 300 Construction and Real Estate
11-3011.00,Sage 50 Accounting
11-3011.00,Sage MAS 200 ERP
11-3011.00,SAP
11-3011.00,SAP Business Objects
11-3011.00,SAP BusinessObjects Crystal Reports
11-3011.00,SAS
11-3011.00,Supervisory control and data acquisition SCADA software
11-3011.00,Teradata Database
11-3011.00,Web browser software
11-3011.00,Yardi
11-3021.00,Access servers
11-3021.00,Computer servers
11-3021.00,Computer tool kits
11-3021.00,File servers
11-3021.00,Industry standard architecture/peripheral component interconnect ISA/PCI cards
11-3021.00,Inkjet printers
11-3021.00,Internet Information Services IIS Servers
11-3021.00,Laser facsimile machines
11-3021.00,Laser printers
11-3021.00,Mainframe computers
11-3021.00,Mid-range computers
11-3021.00,Minicomputers
11-3021.00,Netware servers
11-3021.00,Network analyzers
11-3021.00,Network interface cards NIC
11-3021.00,Network routers
11-3021.00,Network switches
11-3021.00,Personal computers
11-3021.00,Photocopiers
11-3021.00,Print servers
11-3021.00,Punchdown tools
11-3021.00,Robot automation tool
11-3021.00,Screwdrivers
11-3021.00,Storage servers
11-3021.00,Teleconferencing equipment
11-3021.00,Web servers
11-3021.00,Workstations
11-3021.00,ACT! Premium
11-3021.00,Adobe Systems Adobe Distiller
11-3021.00,Adobe Systems Adobe Flash
11-3021.00,Adobe Systems Adobe Flex
11-3021.00,Advanced business application programming ABAP
11-3021.00,Alpha Four
11-3021.00,Apache Cassandra
11-3021.00,Apache Hadoop
11-3021.00,Apache HTTP Server
11-3021.00,Apache Maven
11-3021.00,Apache Pig
11-3021.00,Apache Solr
11-3021.00,Apache Tomcat
11-3021.00,Apple Final Cut Pro
11-3021.00,Apple iMovie
11-3021.00,Apple iWork Keynote
11-3021.00,Apple iWork Numbers
11-3021.00,Apple iWork Pages
11-3021.00,Apple macOS
11-3021.00,Assembler
11-3021.00,Atlassian JIRA
11-3021.00,Backbone.js
11-3021.00,Billing software
11-3021.00,Blackbaud The Raiser's Edge
11-3021.00,Blackboard
11-3021.00,Borland Paradox
11-3021.00,C
11-3021.00,C#
11-3021.00,C++
